Iterations,Resiude,Time_ms
1,2.56876e-10,18.1259
1,2.50928e-10,17.916
2,2.10055e-10,35.5804
1,1.98043e-10,17.9167
1,2.01414e-10,17.9363
2,1.41267e-10,35.2255
2,1.95611e-10,35.3146
2,1.47916e-10,35.3559
2,2.07659e-10,35.3315
2,1.56118e-10,35.4213
2,1.54824e-10,35.3796
2,1.08947e-10,35.3364
2,1.08494e-10,35.3364
2,9.72018e-11,35.3428
2,6.76802e-11,35.4268
2,4.15449e-11,35.3473
2,4.24533e-11,35.3467
2,3.50524e-11,35.3121
2,2.32766e-11,35.3581
1,1.31705e-11,17.9459
1,1.03573e-11,17.9478
1,5.36696e-12,17.9632
1,5.0051e-13,17.9195
1,3.09049e-14,17.9718
1,2.69067e-12,17.8986
1,1.41216e-12,17.9668
1,1.3929e-12,17.934
1,7.73205e-13,17.8996
1,5.73732e-13,17.9801
1,1.09208e-12,17.9894
1,5.52411e-13,17.9195
2,3.40072e-13,35.3692
1,1.57418e-13,18.1494
1,8.30357e-14,17.9113
1,1.47578e-14,17.8796
1,8.44258e-16,18.0002
1,5.20143e-13,17.9864
1,6.19969e-13,17.9374
2,7.13346e-13,35.2813
2,6.19852e-13,35.2807
2,6.76202e-13,35.3639
2,5.71624e-13,35.4001
2,5.79403e-16,35.4851
2,5.08614e-13,35.3402
2,5.40976e-13,35.3544
3,2.91124e-11,52.767
3,1.72394e-13,52.6952
4,9.0474e-11,70.4412
4,7.42435e-12,75.3473
4,3.8958e-12,70.114
