launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,1,2226.000000,3714.944444,291.584000,35826.000000,4618.000000
2,1,2280.000000,3713.648148,300.032000,36696.000000,4714.000000
3,1,2376.000000,3796.324074,310.912000,38241.000000,4903.000000
4,1,2445.000000,3847.444444,320.256000,39351.000000,5063.000000
5,1,2548.000000,3929.333333,333.312000,41008.000000,5232.000000
6,1,2607.000000,3981.731481,340.608000,41958.000000,5379.000000
7,1,2698.000000,4241.611111,352.896000,43423.000000,5652.000000
8,1,2783.000000,4109.629630,363.520000,44789.000000,5713.000000
9,1,2911.000000,4212.120370,380.032000,46849.000000,5986.000000
10,1,3019.000000,4432.425926,394.624000,48589.000000,6182.000000
11,1,3152.000000,4391.675926,410.880000,50729.000000,6450.000000
12,1,3235.000000,4489.342593,420.992000,52066.000000,6623.000000
13,1,3345.000000,4591.111111,435.712000,53835.000000,6848.000000
14,1,3464.000000,4664.666667,450.688000,55751.000000,7072.000000
15,1,3673.000000,4845.351852,479.616000,59113.000000,7624.000000
16,1,3802.000000,4967.731481,494.976000,61189.000000,7698.000000
17,1,3940.000000,5035.444444,513.280000,63412.000000,8021.000000
18,1,4089.000000,5146.824074,530.432000,65808.000000,8262.000000
19,1,4256.000000,5290.731481,551.808000,68495.000000,8573.000000
20,1,4416.000000,5432.787037,572.160000,71070.000000,8878.000000
21,1,4709.000000,5760.722222,611.840000,75788.000000,9482.000000
22,1,4898.000000,5828.398148,633.984000,78830.000000,9890.000000
23,1,5175.000000,6067.972222,665.984000,83286.000000,10429.000000
24,1,5428.000000,6336.222222,696.960000,87358.000000,10864.000000
25,1,5642.000000,6450.546296,723.584000,90803.000000,11188.000000
26,1,5850.000000,6648.648148,747.776000,94149.000000,11560.000000
27,1,6315.000000,7074.824074,813.312000,101634.000000,12455.000000
28,1,6607.000000,7322.916667,847.744000,106333.000000,13065.000000
29,1,6985.000000,7633.111111,890.624000,112417.000000,13632.000000
30,1,7256.000000,7954.435185,926.848000,116777.000000,14078.000000
31,1,7498.000000,8248.203704,953.344000,120673.000000,14519.000000
32,1,7807.000000,8431.814815,993.920000,125644.000000,15014.000000
33,1,8716.000000,9348.518519,1139.15,140275.000000,16561.000000
34,1,9265.000000,9781.833333,1205.86,149110.000000,17607.000000
35,1,10008.000000,10476.870370,1280.18,161067.000000,18565.000000
36,1,10457.000000,10924.777778,1324.88,168293.000000,19175.000000
37,1,10968.000000,11495.574074,1373.77,176517.000000,19840.000000
38,1,12140.000000,12592.722222,1471.68,195380.000000,21215.000000
39,1,14806.000000,15350.240741,1756.1,238285.000000,24249.000000
40,1,16625.000000,17287.268519,1888.62,267560.000000,25918.000000
41,1,17576.000000,18066.120370,2014.31,282866.000000,27973.000000
42,1,18006.000000,18625.537037,1996.62,289785.000000,27379.000000
43,1,19272.000000,19867.388889,2228.62,310161.000000,30548.000000
44,1,22443.000000,23022.037037,2364.8,361194.000000,32161.000000
45,1,26560.000000,27268.157407,2402.03,427450.000000,33037.000000
46,1,27840.000000,28585.592593,2438.2,448050.000000,33431.000000
